2000.10.04 18:19 B \\63.82.41.126\share\capenarol\institucion\menu.php3 --> penarol.sportsya.net /wwwroot/capenarol/capenarol/institucion menu.php3
2000.10.04 18:19 B \\63.82.41.126\share\capenarol\institucion\mundiales.php3 --> penarol.sportsya.net /wwwroot/capenarol/capenarol/institucion mundiales.php3
2000.11.07 13:04 B \\63.82.41.126\share\capenarol\institucion\figuras.php3 <-- Capenarol.Com /wwwroot/capenarol/capenarol/institucion figuras.php3
2000.11.07 13:04 B \\63.82.41.126\share\capenarol\institucion\goleadores.php3 <-- Capenarol.Com /wwwroot/capenarol/capenarol/institucion goleadores.php3
2000.11.07 13:04 B \\63.82.41.126\share\capenarol\institucion\inicio.php3 <-- Capenarol.Com /wwwroot/capenarol/capenarol/institucion inicio.php3
2000.11.07 13:04 B \\63.82.41.126\share\capenarol\institucion\mundiales.php3 <-- Capenarol.Com /wwwroot/capenarol/capenarol/institucion mundiales.php3
2000.11.07 13:04 B \\63.82.41.126\share\capenarol\institucion\presidentes.php3 <-- Capenarol.Com /wwwroot/capenarol/capenarol/institucion presidentes.php3
2000.11.07 13:04 B \\63.82.41.126\share\capenarol\institucion\primer_quinquenio.php3 <-- Capenarol.Com /wwwroot/capenarol/capenarol/institucion primer_quinquenio.php3
2000.11.07 13:04 B \\63.82.41.126\share\capenarol\institucion\segundo_quinquenio.php3 <-- Capenarol.Com /wwwroot/capenarol/capenarol/institucion segundo_quinquenio.php3
2000.11.07 13:05 B \\63.82.41.126\share\capenarol\institucion\goles.php3 <-- Capenarol.Com /wwwroot/capenarol/capenarol/institucion goles.php3
2000.11.07 13:06 B \\63.82.41.126\share\capenarol\institucion\figuras.php3 --> penarol.sportsya.net /wwwroot/capenarol/capenarol/institucion figuras.php3
2000.11.07 13:06 B \\63.82.41.126\share\capenarol\institucion\goleadores.php3 --> penarol.sportsya.net /wwwroot/capenarol/capenarol/institucion goleadores.php3
2000.11.07 13:06 B \\63.82.41.126\share\capenarol\institucion\goles.php3 --> penarol.sportsya.net /wwwroot/capenarol/capenarol/institucion goles.php3
2000.11.07 13:06 B \\63.82.41.126\share\capenarol\institucion\inicio.php3 --> penarol.sportsya.net /wwwroot/capenarol/capenarol/institucion inicio.php3
2000.11.07 13:06 B \\63.82.41.126\share\capenarol\institucion\mundiales.php3 --> penarol.sportsya.net /wwwroot/capenarol/capenarol/institucion mundiales.php3
2000.11.07 13:07 B \\63.82.41.126\share\capenarol\institucion\presidentes.php3 --> penarol.sportsya.net /wwwroot/capenarol/capenarol/institucion presidentes.php3
2000.11.07 13:07 B \\63.82.41.126\share\capenarol\institucion\primer_quinquenio.php3 --> penarol.sportsya.net /wwwroot/capenarol/capenarol/institucion primer_quinquenio.php3
2000.11.07 13:07 B \\63.82.41.126\share\capenarol\institucion\segundo_quinquenio.php3 --> penarol.sportsya.net /wwwroot/capenarol/capenarol/institucion segundo_quinquenio.php3
